0535227508,30025621,11/23/2019,3.4,3.0,3.4,3.2,3.4,3.2,3.4,3.6,3.4,3.4,3.8,3.6,3.2,3.6,3.6,3.2,3.4,3.4,3.4,3.2,3.6,3.4,3.4,3.0,3.6,3.0,3.2,3.2,3.0,3.4,3.0,3.2,3.4,3.2,3.4,3.0,3.6,3.0,3.6,3.4,3.0,3.4,3.2,4.0,3.4,3.2,3.6,3.2
0535227508,30025621,11/22/2019,1.8,2.0,1.8,2.4,1.8,1.8,2.0,1.6,2.2,1.8,2.2,1.8,2.2,2.6,2.2,2.0,2.2,2.6,3.2,3.6,3.4,3.2,3.2,3.2,2.8,2.8,3.6,3.0,3.4,3.0,3.4,3.2,3.0,3.4,3.2,3.2,3.0,3.0,3.2,2.8,3.2,2.8,3.2,3.0,3.0,3.6,2.8,3.8
0535227508,30025621,11/21/2019,2.6,3.0,2.6,3.2,2.8,2.8,2.8,3.0,2.8,3.0,2.8,3.0,3.0,3.6,3.4,3.4,3.0,3.2,3.0,2.8,3.2,2.6,3.6,2.8,3.4,3.6,2.6,3.2,2.6,2.8,3.2,2.6,3.2,1.8,1.6,1.2,1.4,1.4,1.6,2.0,2.0,1.8,1.8,1.8,1.8,1.8,2.0,1.8
0535227508,30025621,11/20/2019,1.8,1.8,1.8,1.8,2.0,1.6,2.0,1.6,2.4,1.8,2.0,1.8,2.0,3.2,3.4,3.2,3.2,3.0,3.0,2.8,3.0,3.2,2.8,3.0,2.8,4.2,4.8,3.0,3.8,3.2,3.2,2.4,3.0,2.4,2.2,2.6,2.2,2.8,2.6,2.4,2.8,3.0,2.8,2.6,2.6,3.0,2.4,2.8
0535227508,30025621,11/19/2019,2.6,3.0,2.8,2.6,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.8,2.8,2.2,2.4,2.8,3.0,2.8,2.6,2.6,2.8,2.6,3.0,5.0,3.2,2.8,4.2,5.0,4.4,3.2,1.8,1.2,1.8,1.4,1.2,1.6,1.6,1.6,1.8,1.6,1.6,2.0,1.6,1.8,1.6,1.8,2.2
0535227508,30025621,11/18/2019,3.4,3.2,3.4,3.2,3.2,3.4,3.0,3.4,3.2,3.6,3.2,3.2,3.2,3.8,3.8,3.8,3.8,4.2,3.6,3.4,4.2,4.0,3.0,3.6,4.0,4.6,3.6,3.6,4.0,5.8,4.2,3.0,3.0,3.0,3.2,2.6,2.6,2.6,2.6,2.8,2.6,3.2,2.6,2.4,3.0,2.6,2.6,2.8
0535227508,30025621,11/17/2019,3.4,3.2,3.6,3.2,3.2,3.2,3.2,3.2,3.4,3.2,3.2,3.2,3.4,3.4,3.4,3.2,3.2,3.4,3.0,3.2,3.2,3.2,3.2,3.2,3.6,3.2,3.2,3.2,3.0,3.2,3.0,3.4,3.0,3.2,3.2,3.4,3.4,3.0,3.4,3.2,3.2,3.4,3.0,3.4,3.0,3.4,3.6,3.2
0535227508,30025621,11/16/2019,3.2,3.2,3.4,3.2,3.2,3.2,3.6,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.0,3.2,3.2,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.2,3.0,3.2,3.0,3.2,3.2,3.0,3.2,3.0,3.4,3.4,3.2,3.2,3.2,3.4,3.2,3.4,3.2,3.2
0535227508,30025621,11/15/2019,1.2,1.4,1.2,1.4,1.4,1.4,1.4,1.2,1.2,1.4,1.4,1.4,1.8,2.4,2.4,2.6,3.0,2.6,3.8,3.8,3.4,3.2,3.2,3.8,3.0,3.4,3.2,3.2,3.2,3.2,3.0,3.2,3.6,3.0,3.4,3.2,3.2,3.2,3.2,3.4,3.2,3.2,3.2,3.6,3.2,3.2,3.4,3.2
0535227508,30025621,11/14/2019,1.6,1.2,1.2,1.4,1.4,1.2,1.4,1.2,1.4,1.2,1.2,1.6,2.4,2.6,2.6,2.6,2.4,2.6,2.4,2.4,2.4,2.8,2.4,2.6,3.6,2.6,3.2,2.8,2.8,2.6,2.8,1.6,1.2,1.6,1.2,1.2,1.2,1.2,1.4,1.2,1.4,1.2,1.8,1.2,1.2,1.4,1.2,1.4
0535227508,30025621,11/13/2019,3.0,2.8,3.0,2.8,3.4,2.8,3.0,3.0,3.0,2.8,3.0,3.0,3.0,3.0,2.8,2.6,2.2,2.6,2.4,2.6,2.6,2.4,2.6,3.2,4.8,3.6,3.6,2.6,2.4,4.6,3.0,1.6,1.2,1.4,1.4,1.2,1.2,1.2,1.4,1.4,1.6,1.4,1.2,1.4,1.2,1.4,1.2,1.4
0535227508,30025621,11/12/2019,1.2,1.0,1.2,1.0,1.6,1.2,1.2,1.6,1.0,1.2,1.2,1.0,1.2,1.2,2.4,2.2,2.0,2.2,1.8,2.0,1.6,1.8,1.8,2.6,2.6,2.4,2.4,2.4,2.6,2.6,2.6,2.8,3.0,2.8,2.8,2.8,2.8,2.8,3.0,3.0,2.8,3.0,3.2,2.8,3.0,3.0,3.0,2.8
0535227508,30025621,11/11/2019,1.2,1.2,1.4,1.0,1.4,1.2,1.2,1.2,1.6,1.2,1.2,1.2,1.2,1.0,1.0,1.2,1.2,1.0,1.2,1.4,1.0,1.2,1.0,1.2,1.0,1.0,1.0,1.0,1.2,1.4,2.8,3.4,3.2,3.8,2.4,1.6,1.2,1.4,1.2,1.0,1.6,1.0,1.2,1.6,1.0,1.2,1.2,1.0
0535227508,30025621,11/10/2019,1.4,1.2,1.4,1.0,1.8,1.0,1.4,1.2,1.2,1.4,1.0,1.4,1.0,1.4,1.4,1.0,1.2,1.0,1.2,1.2,1.0,1.2,1.0,1.2,1.6,1.0,1.2,1.0,1.2,1.2,1.0,1.2,1.0,1.2,1.0,1.4,1.2,1.0,1.2,1.2,1.4,1.0,1.2,1.4,1.0,1.2,1.6,1.2
0535227508,30025621,11/9/2019,1.2,1.2,1.4,1.4,1.2,1.4,1.2,1.2,1.2,1.8,1.2,1.2,1.4,1.0,1.2,1.2,1.0,1.2,1.0,1.4,1.2,1.4,1.0,1.2,1.2,1.0,1.2,1.0,1.2,1.2,1.0,1.6,1.0,1.2,1.2,1.0,1.2,1.0,1.4,1.2,1.4,1.4,1.6,1.4,1.2,1.4,1.2,1.2
0535227508,30025621,11/8/2019,2.2,1.6,1.6,1.6,2.0,1.6,1.6,2.2,1.6,1.8,1.8,1.6,2.6,2.4,2.2,2.2,2.2,2.6,2.6,3.0,2.4,2.8,2.8,2.8,3.2,3.8,3.2,2.6,2.8,2.6,1.6,1.2,1.2,1.0,1.2,1.0,1.2,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.6
0535227508,30025621,11/7/2019,2.8,3.0,2.6,3.0,2.8,2.6,3.0,3.0,3.0,2.8,2.8,2.6,3.0,2.8,2.4,2.4,3.6,2.6,2.8,2.2,2.2,2.2,2.6,3.0,5.6,4.0,2.6,3.0,3.0,3.2,2.8,1.8,1.6,1.4,2.2,1.4,1.8,1.6,1.6,1.8,1.6,1.8,1.8,2.0,1.8,2.2,1.8,1.4
0535227508,30025621,11/6/2019,2.8,2.0,2.2,2.4,2.2,2.4,2.4,2.2,2.0,2.2,2.4,2.6,2.4,2.4,2.2,2.0,2.4,2.6,2.8,3.0,2.4,2.8,2.6,2.6,2.6,3.2,2.6,2.4,2.8,2.6,3.6,2.6,2.8,3.2,2.8,2.8,2.8,3.0,2.8,3.0,2.8,2.8,3.0,2.8,3.2,2.6,2.8,3.0
0535227508,30025621,11/5/2019,2.2,2.2,2.2,2.4,2.0,2.2,2.2,2.2,2.8,2.0,2.2,2.2,2.2,2.4,2.2,2.2,2.0,2.2,2.4,2.8,2.4,2.4,2.4,2.2,3.0,4.4,2.8,3.0,2.6,3.0,3.0,2.4,2.2,2.0,2.4,2.2,2.2,2.4,2.8,2.4,2.2,2.6,2.2,2.2,2.4,2.2,2.2,2.6
0535227508,30025621,11/4/2019,2.2,2.4,2.2,2.2,2.4,2.6,2.4,2.2,2.2,2.4,2.2,2.4,2.6,2.6,2.6,2.4,2.6,3.0,2.6,2.4,2.8,2.8,2.8,3.2,4.2,4.8,3.2,2.8,3.4,2.8,3.2,2.2,2.2,2.2,2.2,2.4,2.2,2.2,2.4,2.4,2.0,2.4,2.2,2.4,2.2,2.6,2.4,2.2
0535227508,30025621,11/3/2019,2.6,2.2,4.6,4.6,2.4,2.4,2.2,2.4,2.6,2.2,2.4,2.2,2.2,2.4,2.0,2.2,2.2,2.2,2.0,2.6,2.0,2.0,2.2,2.0,2.2,2.2,2.2,2.0,2.2,2.2,2.4,2.4,2.0,2.2,2.4,2.0,2.4,2.4,2.4,2.2,2.2,2.4,2.8,2.4,2.0,2.4,2.2,2.2
0535227508,30025621,11/2/2019,2.4,2.2,2.2,2.2,2.4,2.6,2.2,2.4,2.2,2.2,2.4,2.0,2.6,2.4,2.2,2.6,2.0,2.2,2.2,2.2,2.0,2.0,2.2,2.0,2.2,2.0,2.6,2.2,2.0,2.2,2.0,2.2,2.0,2.0,2.2,2.2,2.2,2.6,2.2,2.4,2.2,2.2,2.2,2.4,2.2,2.2,2.2,2.4
0535227508,30025621,11/1/2019,1.6,1.6,1.8,1.6,1.8,1.8,1.6,1.4,1.6,1.6,1.4,1.6,1.8,2.0,2.4,1.8,3.0,3.4,2.8,2.2,2.8,2.2,2.4,2.4,2.2,2.4,3.0,2.6,2.6,2.6,4.4,3.2,3.0,2.2,2.4,2.0,2.4,2.4,2.0,2.4,2.4,2.4,2.2,2.4,2.6,2.2,2.2,2.2
0535227508,30025621,10/31/2019,2.2,2.6,2.2,2.4,2.4,2.2,2.8,2.4,2.4,2.4,2.4,2.2,2.6,2.2,1.8,1.8,2.0,3.0,3.6,3.0,2.0,1.0,1.4,1.4,2.2,2.8,1.6,2.0,1.8,1.8,2.4,3.8,2.6,1.8,1.6,1.8,1.8,1.8,1.4,1.6,2.0,1.6,1.6,2.0,1.6,1.8,1.6,1.8
0535227508,30025621,10/30/2019,1.6,2.0,1.6,1.8,2.0,1.6,2.2,2.0,1.8,1.8,1.8,2.0,1.6,1.8,1.8,2.0,3.2,3.4,2.8,2.4,2.2,2.4,2.4,2.4,2.8,3.2,2.2,2.2,2.4,2.4,4.0,3.8,3.0,2.6,3.2,2.6,2.6,2.6,2.2,2.6,2.2,2.4,2.4,2.2,2.4,2.6,2.4,2.2
0535227508,30025621,10/29/2019,3.0,2.8,3.0,3.0,2.8,2.8,3.0,3.2,3.0,3.0,3.0,3.0,2.4,2.4,3.0,3.0,2.6,3.2,2.8,2.4,2.6,2.6,2.8,2.8,2.4,3.0,3.0,2.6,2.6,2.6,2.6,2.0,1.8,1.8,2.2,1.6,2.0,1.6,1.8,1.8,1.8,1.6,2.0,1.6,2.4,1.8,1.6,2.0
0535227508,30025621,10/28/2019,1.8,1.8,1.6,1.8,2.0,1.8,1.8,1.8,1.8,1.8,2.0,2.0,2.4,2.8,2.6,2.6,2.8,4.2,3.0,3.4,4.6,3.4,3.0,2.8,2.6,4.4,2.6,2.8,3.0,3.4,3.0,3.0,3.4,3.0,3.4,3.0,3.2,3.0,3.0,3.0,3.0,3.2,2.8,3.0,3.6,3.0,3.0,2.8
0535227508,30025621,10/27/2019,1.8,1.4,1.8,1.6,1.8,1.6,1.6,1.6,1.6,2.0,1.6,1.6,1.6,1.8,1.4,1.8,1.4,1.8,1.6,1.4,2.2,1.6,1.6,1.6,1.6,1.8,1.6,1.8,1.6,1.8,1.8,2.0,2.0,1.6,1.8,1.8,1.6,2.0,1.8,1.8,2.0,2.2,1.8,1.6,1.8,1.6,1.8,1.8
0535227508,30025621,10/26/2019,1.8,1.6,1.6,1.8,1.6,1.6,2.2,1.4,1.8,1.4,1.8,1.4,1.8,1.6,1.6,1.6,1.6,1.8,1.4,1.6,1.4,1.6,1.4,1.6,1.4,1.6,1.4,2.4,4.0,2.8,1.8,2.0,1.6,1.6,1.8,1.4,1.8,1.6,2.0,1.8,1.4,1.8,1.4,1.8,1.6,1.6,1.8,1.8
0535227508,30025621,10/25/2019,2.8,2.4,2.6,2.2,2.6,2.6,2.4,2.4,2.2,2.6,2.2,2.8,2.2,2.6,2.4,1.8,1.6,1.8,2.4,2.6,2.2,2.6,2.2,2.6,2.6,4.0,3.2,2.8,2.8,2.2,1.8,1.6,1.8,1.4,1.8,1.8,1.6,1.8,1.6,1.8,1.8,1.6,1.8,2.0,2.0,1.8,1.6,1.8
0535227508,30025621,10/24/2019,2.4,2.2,2.6,2.4,3.0,2.2,2.6,2.2,2.6,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.8,3.0,2.8,2.6,2.8,2.6,2.8,3.8,3.0,2.6,3.0,2.8,3.2,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.6,2.6,2.4,2.4,2.6,2.4,2.6,2.6,2.4,2.6,2.6
0535227508,30025621,10/23/2019,3.4,2.6,3.0,2.6,2.8,2.8,2.6,3.0,2.6,2.8,2.8,2.6,3.2,2.8,2.8,2.8,2.6,2.8,2.6,3.0,2.6,2.6,2.8,3.4,2.6,2.8,2.8,2.4,2.4,2.4,2.4,2.6,2.4,2.8,2.4,2.4,2.4,2.4,2.6,2.4,2.6,2.4,3.0,2.6,2.4,2.6,2.4,2.4
0535227508,30025621,10/22/2019,1.8,1.8,2.0,2.0,1.8,1.8,1.8,2.0,1.8,1.8,2.0,1.8,1.6,2.0,2.0,1.6,2.0,1.8,2.6,2.8,2.4,3.0,2.6,2.6,3.4,3.2,2.4,2.8,2.6,3.0,2.4,2.8,2.4,2.8,2.4,2.8,2.6,2.6,2.8,2.8,2.6,2.8,2.6,3.0,2.6,2.8,2.6,2.6
0535227508,30025621,10/21/2019,1.8,1.8,2.2,1.8,1.8,1.6,1.8,1.8,1.8,1.8,1.8,2.0,1.8,1.8,2.2,1.6,1.8,1.8,3.6,2.6,2.2,2.6,2.6,3.4,2.6,3.0,2.8,1.8,1.8,1.8,2.4,2.0,1.8,2.0,1.8,1.8,1.8,1.8,2.0,2.0,2.4,1.8,2.0,1.8,2.0,2.0,1.6,2.0
0535227508,30025621,10/20/2019,2.0,2.4,1.8,1.8,2.0,1.8,1.6,2.2,1.8,1.8,2.2,1.8,1.8,2.4,1.8,1.8,1.6,2.0,1.6,1.6,1.8,1.8,1.8,1.6,1.8,2.2,1.6,1.8,1.8,1.8,1.8,1.6,1.8,1.8,1.8,1.8,1.6,1.8,2.0,1.8,1.8,1.8,2.0,1.6,1.8,1.8,1.8,1.8
0535227508,30025621,10/19/2019,1.8,2.0,2.2,1.8,1.8,2.0,1.6,2.0,1.8,1.8,1.8,1.8,2.0,1.8,2.4,1.6,1.8,1.6,1.6,1.8,1.6,1.8,1.8,1.6,1.8,1.8,2.2,1.6,1.8,2.0,1.6,2.0,1.8,1.8,1.8,1.8,2.0,1.6,2.4,2.0,1.6,2.2,1.8,1.8,2.0,1.8,1.8,1.8
0535227508,30025621,10/18/2019,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.4,1.2,1.8,2.0,1.6,2.2,1.8,1.8,1.8,1.8,1.8,1.6,1.8,3.0,2.0,2.2,2.0,2.4,2.0,1.6,2.0,1.8,1.8,1.8,2.0,1.8,1.6,2.4,1.8,2.0,2.0,1.8,1.8,2.0,2.0,1.8,2.0
0535227508,30025621,10/17/2019,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.2,0.8,1.0,1.0,1.2,2.4,2.2,2.2,3.0,2.2,2.2,2.0,2.4,2.2,1.8,2.8,1.6,2.8,2.8,2.0,2.2,1.8,1.2,1.0,0.8,1.2,0.8,1.0,1.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.2
0535227508,30025621,10/16/2019,2.6,2.6,3.2,2.4,2.8,2.4,2.8,2.6,2.4,2.6,2.4,2.8,2.8,3.0,3.6,2.6,3.2,3.0,3.2,3.2,3.0,3.4,3.2,4.0,4.2,2.8,3.2,3.0,3.4,3.6,2.0,1.2,1.0,0.8,1.0,1.4,1.0,1.2,0.8,1.2,1.0,1.0,1.2,1.0,1.2,1.0,1.2,1.2
0535227508,30025621,10/15/2019,1.2,1.0,1.4,1.4,1.6,1.6,1.8,1.8,2.2,1.6,1.6,1.8,1.2,1.2,1.4,2.0,2.8,2.2,3.4,2.4,3.4,3.2,3.0,3.6,2.4,2.6,2.8,3.4,3.0,3.2,3.2,2.6,3.2,2.8,3.0,3.0,2.8,3.0,3.0,3.0,3.2,2.4,3.2,2.6,3.0,2.8,2.6,3.0
0535227508,30025621,10/14/2019,1.4,0.8,1.2,1.2,1.0,1.4,1.6,1.6,1.8,2.0,1.6,1.6,1.6,1.0,1.4,1.0,1.4,1.0,1.4,1.4,1.2,2.2,1.4,1.4,1.6,1.4,1.6,1.2,1.6,1.4,1.4,1.8,1.4,2.0,1.2,2.0,1.2,1.4,1.8,1.2,1.6,1.4,1.4,1.4,1.6,1.8,1.2,1.4
0535227508,30025621,10/13/2019,1.6,1.0,1.4,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.0,1.0,1.4,1.0,1.8,1.4,1.6,2.2,1.4,1.8,1.2,1.4,1.6,1.6,1.4,1.2,1.4,1.2,1.2,1.2,1.2,1.0,1.0,1.8,1.2,1.2,1.0,1.0,1.2,0.8,1.4,1.0,1.0,1.2,1.2,1.6,1.2,1.0
0535227508,30025621,10/12/2019,2.6,2.8,2.4,2.4,2.2,2.6,2.2,2.6,2.4,2.4,2.6,2.6,2.8,2.0,2.6,2.4,2.2,2.0,1.4,1.6,1.0,2.0,3.4,3.0,2.0,1.2,1.8,1.4,1.4,1.4,1.2,1.6,1.8,1.4,1.4,1.6,1.6,1.4,1.4,1.4,1.4,1.6,1.2,1.8,1.2,1.4,1.2,1.2
0535227508,30025621,10/11/2019,2.6,2.6,2.8,2.2,2.6,2.4,2.4,2.4,2.2,2.4,2.6,2.4,2.6,2.0,2.6,2.4,2.8,3.4,2.8,3.2,2.8,2.6,2.6,2.8,2.8,2.2,2.8,4.0,3.2,4.0,2.8,3.2,3.2,3.0,3.8,3.0,3.2,3.6,3.0,3.4,4.6,4.8,3.6,3.6,2.6,2.4,2.8,2.4
0535227508,30025621,10/10/2019,2.6,2.0,2.4,2.4,2.2,2.2,2.2,2.4,2.0,2.4,2.6,2.0,2.4,1.8,2.2,2.4,2.6,4.0,3.2,3.0,2.8,5.2,3.0,2.8,2.6,2.4,3.2,2.4,2.8,3.0,2.8,3.0,2.6,2.8,3.0,2.4,3.2,3.0,2.8,2.8,2.8,2.8,2.4,3.2,2.4,2.8,2.8,3.0
0535227508,30025621,10/9/2019,2.4,2.6,2.6,2.4,2.4,2.4,2.6,2.4,2.2,2.8,2.4,2.4,2.2,2.4,2.2,2.2,2.4,2.6,2.4,2.6,2.6,2.2,2.4,2.4,2.4,2.4,3.0,2.4,2.4,3.6,4.2,5.0,3.6,2.8,2.6,2.4,2.2,2.6,2.6,2.4,2.4,2.6,2.4,2.4,2.4,2.2,2.6,2.4
0535227508,30025621,10/8/2019,3.2,2.8,2.8,3.0,2.8,3.0,2.4,3.0,2.6,2.8,2.6,2.6,2.8,2.4,3.2,2.4,2.6,2.8,3.0,2.8,3.2,3.0,2.6,3.0,3.0,2.6,2.8,2.6,2.8,2.4,2.6,2.6,2.4,3.0,2.2,2.6,2.4,2.6,2.4,2.6,2.8,2.4,2.6,2.4,2.4,2.8,2.4,2.8
0535227508,30025621,10/7/2019,2.8,3.4,3.0,3.0,3.4,2.8,3.6,3.0,3.0,2.8,3.2,3.0,2.8,3.4,2.8,3.2,4.0,2.6,2.8,2.8,3.0,2.8,3.2,3.0,3.4,2.8,3.6,4.2,3.2,4.4,3.6,3.8,4.2,3.2,3.4,4.2,3.2,3.2,3.2,3.4,3.6,3.4,3.0,3.0,3.2,2.8,3.2,2.6
0535227508,30025621,10/6/2019,3.4,3.6,3.4,3.4,3.4,3.6,3.4,3.2,3.4,3.4,3.6,3.4,3.4,3.4,3.2,3.4,3.2,3.8,3.4,3.6,3.4,3.2,3.4,3.2,3.6,3.2,4.6,4.6,4.6,5.6,4.2,5.6,4.0,3.8,2.8,3.0,3.6,3.0,3.2,2.8,3.4,3.0,3.0,3.2,3.4,3.2,3.0,3.2
0535227508,30025621,10/5/2019,4.0,3.6,4.2,3.6,4.2,3.8,4.0,3.8,3.6,4.0,3.6,3.8,3.4,4.0,3.4,3.4,3.4,3.4,4.2,3.4,3.8,3.4,3.6,3.4,3.6,3.6,3.2,3.6,3.4,3.6,3.6,3.6,3.4,3.4,3.8,3.4,3.6,3.4,3.6,3.2,3.8,3.4,3.8,3.6,3.4,3.6,3.2,3.4
0535227508,30025621,10/4/2019,5.0,5.0,4.4,5.2,4.4,5.0,4.6,5.0,4.6,4.6,4.8,5.0,5.6,4.8,4.2,5.2,3.6,4.4,5.4,4.4,4.8,5.2,4.8,5.4,5.4,4.6,5.8,4.6,5.4,5.2,5.0,6.4,4.4,5.8,4.6,5.0,4.8,4.2,5.0,4.6,4.2,5.2,4.0,4.4,4.0,3.8,4.0,3.6
0535227508,30025621,10/3/2019,5.6,5.2,4.8,5.2,5.0,5.0,5.2,4.8,5.4,5.0,5.0,7.6,7.0,6.4,6.2,6.0,5.0,6.0,5.4,7.0,8.2,7.4,6.0,5.6,6.0,5.4,5.6,5.8,6.4,6.2,6.2,5.8,5.8,5.6,5.8,4.8,5.6,5.0,5.6,5.0,4.8,5.8,5.0,4.8,6.2,4.8,5.0,5.0
0535227508,30025621,10/2/2019,4.6,4.2,4.6,4.4,4.4,4.6,4.2,5.0,4.2,4.4,4.2,4.6,5.8,4.2,4.6,4.4,4.6,4.2,5.8,5.8,5.8,6.2,6.2,6.6,7.2,6.6,6.2,6.4,6.6,7.4,7.6,8.6,9.6,7.4,7.0,7.6,6.0,6.6,6.0,6.4,6.0,6.2,6.2,6.0,6.4,4.8,5.4,5.0
0535227508,30025621,10/1/2019,3.8,3.6,4.0,4.0,4.0,3.6,3.8,3.8,3.8,3.8,3.6,3.6,3.8,3.6,3.4,4.4,3.2,4.2,3.6,5.0,4.0,5.0,5.6,4.6,5.0,5.0,4.8,5.2,5.4,4.8,6.0,6.0,6.0,5.6,5.2,5.4,5.4,5.8,4.6,5.8,4.6,5.6,4.8,5.2,5.4,4.6,4.6,4.2
0535227508,30025621,9/30/2019,3.6,4.2,3.6,4.2,4.0,4.0,3.8,3.6,3.8,3.4,4.0,3.8,5.2,3.4,3.6,4.2,3.6,3.6,4.0,3.6,3.4,4.2,3.8,4.0,4.4,3.8,3.8,4.6,4.2,4.6,3.8,3.8,4.8,3.6,4.2,4.0,4.0,3.6,3.8,4.4,4.2,4.2,3.6,4.2,3.4,4.0,3.6,4.0
0535227508,30025621,9/29/2019,4.0,3.4,3.8,3.8,3.6,3.8,3.8,3.6,3.6,3.4,3.6,3.6,4.8,3.2,3.6,4.0,3.6,4.2,4.6,4.6,5.2,4.6,4.8,5.4,5.2,5.6,4.8,5.4,5.2,6.2,5.4,5.6,5.4,4.8,5.4,5.0,5.4,4.8,4.4,4.8,4.6,5.2,4.2,5.0,4.2,4.4,4.0,4.4
0535227508,30025621,9/28/2019,3.4,4.0,3.2,3.8,3.4,3.4,3.6,3.6,3.6,3.0,3.6,3.0,3.6,3.0,3.4,3.2,3.0,4.0,3.0,4.0,3.8,3.6,3.6,3.6,3.4,4.2,3.6,4.0,4.8,3.8,5.0,4.6,4.6,3.8,4.6,5.0,3.4,4.4,4.2,3.6,4.8,3.8,4.4,4.4,4.0,3.4,4.2,3.4
0535227508,30025621,9/27/2019,4.4,3.8,4.2,3.6,4.2,3.6,4.2,4.0,3.4,4.0,3.4,3.6,4.4,3.4,3.6,3.4,3.8,3.8,5.2,3.8,5.0,3.0,4.2,4.0,3.2,3.8,3.2,4.0,4.2,4.4,5.2,6.0,5.0,5.0,5.4,5.4,4.4,4.8,6.8,5.8,4.8,5.0,4.0,3.8,3.8,3.8,4.0,4.0
0535227508,30025621,9/26/2019,3.6,3.4,3.4,3.0,3.4,3.2,3.8,3.0,3.0,3.4,2.8,3.4,3.0,2.6,2.8,2.2,3.2,3.0,4.4,4.6,4.8,5.0,5.0,5.2,5.6,5.4,4.8,5.8,5.6,6.2,6.2,6.2,5.6,5.0,5.6,4.8,5.4,5.2,4.6,4.6,5.2,4.8,4.8,4.8,4.0,4.2,4.4,4.0
0535227508,30025621,9/25/2019,3.2,2.8,3.0,3.0,2.6,2.8,3.0,2.6,2.6,2.8,2.4,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.8,4.0,3.2,3.8,3.2,4.4,4.0,3.8,5.0,4.2,5.2,3.8,4.6,4.4,5.4,3.8,5.2,4.6,4.4,4.2,4.0,4.2,4.4,4.0,3.6,4.0,3.8,3.4,3.8,3.8
0535227508,30025621,9/24/2019,3.8,3.8,3.8,3.6,3.6,3.8,3.6,3.4,3.6,3.4,3.2,4.8,5.4,5.0,3.2,3.4,4.2,3.6,4.4,5.0,4.8,4.8,4.0,4.4,4.6,4.6,3.8,4.8,4.6,5.0,5.2,3.8,4.8,4.6,4.6,4.4,4.0,4.2,3.4,3.6,4.0,3.4,4.4,3.2,3.4,3.0,3.4,3.0
0535227508,30025621,9/23/2019,3.6,4.2,3.8,3.8,3.6,3.8,3.6,3.6,4.0,3.6,4.0,4.2,5.2,4.0,3.6,3.2,4.0,3.6,4.8,5.0,5.2,5.2,5.6,5.6,6.2,5.8,6.2,6.2,5.2,5.8,5.4,5.6,5.4,5.6,5.4,4.8,4.8,4.6,4.8,4.6,5.0,5.0,4.8,4.8,3.8,3.8,3.8,3.8
0535227508,30025621,9/22/2019,3.4,3.8,3.2,4.2,3.2,3.6,3.2,3.4,3.4,3.0,3.2,3.2,4.0,3.4,3.0,3.0,3.6,3.4,3.2,4.8,4.4,4.0,4.4,5.0,5.2,4.8,5.6,4.0,5.2,5.2,5.6,5.4,6.4,5.6,6.0,4.8,5.2,5.4,4.8,4.6,5.0,5.4,4.0,5.4,3.8,5.0,4.0,4.2
0535227508,30025621,9/21/2019,2.4,3.2,2.6,3.0,2.8,2.6,3.0,3.0,2.6,2.6,2.4,2.8,2.6,2.4,2.4,2.4,2.6,3.0,2.8,2.8,3.0,2.8,3.2,3.4,3.4,2.8,4.6,3.0,4.6,3.6,4.6,4.2,4.8,4.0,4.8,4.8,3.8,4.6,3.6,3.8,4.6,4.4,3.6,4.8,3.4,4.0,3.4,3.6
0535227508,30025621,9/20/2019,2.4,2.8,2.2,2.6,2.2,2.6,2.2,2.4,2.6,2.4,2.2,2.4,2.2,2.6,2.0,2.4,2.4,3.2,3.6,3.0,3.0,3.0,3.0,3.0,3.6,2.4,3.0,2.6,4.2,4.4,4.4,2.8,3.4,3.6,3.2,3.4,4.2,3.0,3.2,3.2,3.2,3.0,3.0,3.0,3.2,3.2,2.6,3.2
0535227508,30025621,9/19/2019,3.2,2.8,3.4,3.0,2.8,3.2,3.0,2.8,3.0,2.8,2.8,2.8,2.8,3.2,2.8,2.4,2.8,2.4,3.4,2.6,3.4,2.8,3.0,2.6,3.2,3.0,2.8,3.0,2.8,2.6,3.0,3.2,2.8,3.2,3.4,3.0,2.6,3.2,4.6,3.8,5.0,4.2,3.2,2.6,2.4,2.8,2.4,3.0
0535227508,30025621,9/18/2019,2.8,3.8,2.6,3.8,2.6,3.2,2.8,3.2,2.8,3.2,2.6,2.8,3.0,2.8,2.8,2.6,2.8,3.2,3.6,4.2,3.6,4.0,4.6,3.2,4.2,4.2,4.2,3.8,5.6,3.8,5.2,6.8,4.8,6.4,4.8,5.0,3.4,4.2,4.0,3.8,5.8,5.8,3.8,3.8,3.2,3.4,3.0,3.2
